성별,연령대,총인구수,1인가구수,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 비사용 인구수,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,cluster
1,50,110.0,28.62,60.42,521.92,110.0,0.0,3055.56,7.89,11.58,-0.04,53.79,8.97,14.71,4.6,4.55,20.94,8.61,671950.88,164072.97,959.38,370.11,10.13,48.62,107.64,150.71,36.44,-0.04,-0.48,6.04,4.17,1.67,3
1,55,116.0,26.47,78.33,543.33,111.96,1.67,7055.56,10.34,28.25,-0.05,69.17,19.39,21.01,6.81,3.11,19.4,8.86,644522.99,133336.78,705.56,363.64,8.33,45.0,108.94,150.0,41.83,-0.15,-0.47,6.94,3.89,0.0,0
1,60,84.0,20.8,55.29,593.89,84.0,0.0,666.67,11.54,3.23,-0.14,56.36,12.92,14.93,5.14,2.27,20.36,9.37,684532.0,166446.67,540.58,366.67,8.11,38.68,56.81,81.81,20.29,-0.12,-0.57,6.67,0.0,0.0,0
1,65,77.0,18.36,65.45,575.38,77.0,0.0,2000.0,3.7,2.85,0.01,84.72,7.5,21.39,6.46,1.86,18.47,7.29,654328.21,181369.23,812.0,328.99,7.07,36.28,41.96,70.31,22.37,-0.09,-0.53,6.67,0.0,0.0,0
1,70,60.53,12.55,0.0,0.0,60.53,0.0,7333.33,4.76,5.76,-0.11,32.28,11.11,14.56,5.35,1.18,17.54,7.65,754128.57,199969.84,631.58,430.95,5.29,42.46,34.33,38.07,20.56,-0.17,-0.65,1.67,0.0,0.0,4
1,75,86.47,28.56,0.0,0.0,83.59,1.67,2000.0,0.0,23.06,-0.26,19.28,11.67,7.8,2.4,0.74,10.6,4.9,900546.67,272300.0,306.67,182.22,3.75,28.12,21.06,37.62,11.67,-0.61,-0.61,6.67,0.0,0.0,4
2,20,60.0,26.96,40.0,530.0,60.0,0.0,0.0,25.0,0.0,0.11,58.75,8.33,10.21,4.17,10.04,25.42,10.0,621733.33,163850.0,662.5,316.67,9.58,61.67,101.46,168.75,30.63,0.16,0.07,17.22,1.67,0.0,1
2,25,92.0,46.41,57.69,551.54,92.0,0.0,2666.67,5.0,0.0,0.09,78.96,5.83,8.6,4.04,8.79,19.82,9.12,673885.0,203203.33,607.02,409.26,8.7,37.08,117.08,155.79,39.3,0.14,-0.23,16.67,1.67,1.67,1
2,30,93.0,42.18,55.33,486.25,88.11,1.67,6166.67,5.26,0.0,-0.02,47.92,14.44,10.63,4.81,7.32,18.52,8.96,639277.19,164852.63,568.63,341.18,9.17,39.63,144.51,186.2,37.55,0.07,-0.08,13.93,1.67,1.67,1
2,35,112.0,45.87,41.0,540.0,112.0,0.0,2000.0,0.0,14.0,0.06,74.04,13.03,18.16,7.98,7.26,20.17,9.82,665688.41,151978.79,730.16,468.42,7.22,49.84,159.29,291.43,52.83,-0.12,-0.2,15.93,3.33,1.67,1
2,40,97.0,28.04,68.1,535.71,94.06,1.67,8416.67,0.0,0.0,-0.02,74.09,12.78,15.0,5.81,2.92,20.1,7.58,658706.06,148975.76,636.36,285.56,7.87,41.16,118.94,192.47,36.25,-0.04,-0.28,12.57,2.5,1.67,1
2,45,116.0,33.33,46.0,474.0,110.96,1.67,2500.0,4.35,0.0,0.06,79.71,14.22,18.48,7.32,4.02,19.24,8.17,785913.04,164365.0,793.94,420.63,6.83,44.47,135.98,210.87,45.94,-0.05,-0.28,18.81,0.0,0.0,1
2,50,132.0,37.35,66.0,511.25,113.79,2.5,6666.67,13.79,4.55,-0.05,91.15,16.41,14.2,6.28,2.15,18.64,8.7,725829.76,168908.33,638.89,365.33,8.03,37.59,98.4,193.83,29.94,-0.1,-0.45,7.92,2.78,0.0,6
2,55,142.0,32.91,73.75,571.0,142.0,0.0,3466.67,5.0,0.0,-0.04,55.93,8.75,10.92,5.0,3.98,22.83,10.09,636501.67,170336.67,608.77,387.04,7.98,37.33,95.74,162.17,24.47,-0.19,-0.38,12.62,5.0,0.0,0
2,60,115.36,22.0,52.5,467.5,115.36,0.0,3166.67,4.0,4.71,-0.12,58.47,7.08,13.13,4.86,1.16,17.67,7.38,805262.67,227116.0,479.71,276.67,5.79,36.94,52.57,92.1,21.88,-0.11,-0.54,4.58,1.67,0.0,5
2,65,89.27,25.96,64.09,416.09,87.07,1.67,3266.67,2.5,6.62,-0.13,55.88,12.33,13.43,4.43,0.91,13.75,5.95,814044.74,207822.81,501.04,235.63,5.62,30.42,37.88,58.69,15.45,-0.29,-0.58,6.11,0.0,0.0,5
2,70,68.56,16.05,0.0,0.0,68.56,0.0,2000.0,4.76,13.06,-0.24,57.5,6.67,12.25,3.15,0.46,12.19,5.49,868974.6,215488.89,336.84,288.1,5.44,31.42,18.17,32.72,7.5,-0.28,-0.64,0.0,0.0,0.0,5
2,75,156.09,61.81,0.0,0.0,156.09,0.0,0.0,2.08,51.61,-0.3,46.36,5.83,8.62,2.48,0.36,8.55,5.2,949509.72,259966.67,277.78,175.36,4.05,23.56,10.51,22.22,8.72,-0.68,-0.65,0.0,0.0,0.0,5
1,20,599.0,111.4,95.0,471.77,599.0,0.0,8800.0,4.24,10.15,0.05,77.97,14.1,6.54,2.75,13.33,16.54,8.38,661405.98,159476.35,477.67,280.69,6.84,85.79,96.71,116.88,37.85,0.27,-0.14,15.71,2.27,0.0,0
1,25,393.0,71.61,70.18,572.54,375.91,2.5,6851.85,7.61,4.27,0.18,65.61,8.16,10.71,4.25,12.51,22.2,10.59,610335.51,145760.14,782.17,456.35,10.11,69.18,106.94,155.79,44.49,0.27,-0.13,17.73,2.42,1.67,2
1,30,348.0,90.15,67.92,568.68,331.43,2.0,5600.0,7.62,13.26,0.18,67.6,11.03,12.79,5.07,13.67,25.07,11.23,579845.71,158238.46,771.04,401.45,10.49,72.14,128.35,183.98,46.24,0.21,-0.19,17.11,2.67,1.67,2
1,35,316.0,77.16,61.43,533.59,306.02,2.22,5439.39,5.26,19.96,0.1,77.33,9.72,17.94,5.74,7.99,25.49,11.05,582946.32,171969.47,796.67,435.74,10.36,65.98,131.88,187.49,44.23,0.09,-0.15,16.56,3.33,0.0,0
1,40,434.0,55.73,76.03,573.78,430.69,3.33,4320.0,10.69,39.76,0.09,67.84,11.67,19.72,6.53,6.73,26.05,10.25,574924.81,162392.51,981.92,413.62,10.2,65.64,139.29,196.65,45.21,0.04,-0.33,15.88,2.5,1.67,2
1,45,422.0,50.51,71.01,527.25,411.36,1.67,5013.89,10.92,17.73,0.02,87.68,12.16,19.88,6.06,6.17,26.55,10.41,575836.69,176751.69,898.59,413.15,10.96,58.66,136.74,165.73,40.61,0.02,-0.33,13.07,3.21,1.67,2
1,50,431.0,37.29,73.64,548.95,415.33,2.22,4240.0,6.06,36.57,-0.02,70.75,10.36,19.05,6.38,4.38,26.29,10.66,596825.61,168045.73,1042.58,496.99,10.18,52.47,103.84,147.41,36.65,-0.09,-0.4,10.85,3.03,0.0,0
1,55,394.0,36.59,83.49,542.11,385.56,2.22,4160.49,5.71,11.26,0.02,69.86,11.67,20.66,6.56,3.47,26.72,10.87,558398.56,156855.56,971.43,454.3,9.42,49.31,90.32,130.5,34.3,-0.08,-0.47,10.76,2.67,0.0,0
1,60,293.0,31.61,64.55,517.06,291.15,1.67,4408.6,9.49,20.4,0.0,65.51,9.6,19.94,5.59,2.52,25.49,10.47,623705.27,162661.81,797.33,410.34,8.53,48.91,72.38,96.52,28.81,-0.09,-0.55,8.24,2.78,0.0,0
1,65,215.0,45.61,82.2,515.0,213.08,1.67,5976.19,7.14,15.36,-0.04,57.67,15.93,18.08,5.25,1.77,25.02,10.88,687891.07,199352.08,945.95,437.41,9.13,41.48,47.85,79.33,22.46,-0.15,-0.62,11.25,0.0,0.0,0
1,70,152.43,32.08,80.0,700.0,150.15,3.33,4555.56,1.49,18.2,-0.05,43.94,12.71,13.44,4.44,1.68,23.72,9.63,634286.07,184980.81,788.52,413.79,8.3,40.19,32.52,55.79,19.33,-0.15,-0.64,8.33,0.0,0.0,0
1,75,302.58,78.43,0.0,0.0,302.58,0.0,2000.0,6.77,56.87,-0.21,42.11,10.3,11.5,3.82,0.63,16.29,7.28,806404.29,232829.29,447.27,225.72,5.49,30.86,23.38,30.98,13.16,-0.42,-0.65,12.22,0.0,0.0,4
2,20,548.0,109.68,87.86,535.57,520.87,2.33,9547.62,6.93,5.43,0.05,77.78,9.09,6.49,3.5,7.52,19.93,9.3,663486.14,141876.24,554.13,340.33,7.41,45.88,96.4,129.65,32.43,0.15,-0.21,15.77,2.78,1.67,1
2,25,448.0,85.18,67.12,530.36,424.73,2.08,6842.11,11.69,11.64,0.2,83.19,12.62,9.02,4.57,10.73,22.95,10.24,624492.98,157528.07,728.24,345.66,10.29,49.89,127.85,193.51,42.63,0.18,-0.08,18.81,1.67,1.67,1
2,30,363.0,97.16,57.6,512.71,337.67,1.67,6786.67,8.14,4.22,0.09,78.16,10.36,13.42,5.18,6.57,23.8,10.72,587888.49,150140.48,601.63,412.5,9.05,46.22,131.69,187.97,38.76,0.07,-0.13,16.82,2.58,1.67,1
2,35,336.0,80.35,58.05,522.64,317.48,2.14,7466.67,8.66,15.87,-0.01,58.07,11.67,12.68,6.08,5.68,22.65,9.22,664681.36,185163.49,623.85,342.34,7.55,36.65,118.17,187.99,38.29,0.01,-0.25,13.85,2.22,1.67,1
2,40,465.0,55.04,56.02,511.07,439.86,2.92,6899.22,8.11,15.71,0.01,81.23,12.5,15.85,6.53,5.81,23.22,10.12,675590.18,191307.08,606.33,355.3,7.35,47.81,126.92,215.6,41.08,-0.02,-0.24,13.73,2.89,1.67,1
